Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Skype,Широта,Долгота,2GIS URL,Тип
A-service,сервисный центр,Компьютеры; Ремонт компьютеров; Заправка картриджей; Расходные материалы для оргтехники; Ремонт оргтехники,"улица Толе би, 266",1 бутик; 1 этаж,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,87002299678,,,,,,,,,,,,,https://wa.me/77002299678,,,,,,,,43.249802,76.877107,https://2gis.com/firm/70000001075836291,branch
A.Z Shop,магазин гаджетов,Компьютеры; Аксессуары к телефонам; Мобильные телефоны,"проспект Жибек Жолы, 85",С сектор; 1 этаж; витрина 20,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+05:00,5.0,1,87471727810,,,,,,,,,,,,,https://wa.me/77471727810,,,,,,,,43.26205,76.941855,https://2gis.com/firm/70000001084533998,branch
A17,салон по ремонту мобильных телефонов и продаже аксессуаров,Компьютеры; Ремонт телефонов; Аксессуары к телефонам; Копировальные услуги; Электронные подписи,"улица Жана арна, 1Б",1 этаж,040910,,,,Карасайский район,Алматинская область,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,3.3,2,87067063344,87786673344,,,,,,,,,,,,https://wa.me/77067063344,,,,,,,,43.174063,76.782788,https://2gis.com/firm/70000001103407424,branch
AbsolutPc,"центр по продаже и ремонту компьютеров, ноутбуков",Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК,"улица Навои, 156",,050042,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:30-19:00; Вт: 10:30-19:00; Ср: 10:30-19:00; Чт: 10:30-19:00; Пт: 10:30-19:00,+05:00,5.0,21,87476245578,,,,,,,,,,,,,https://wa.me/77476245578,,,,,,,,43.210533,76.88317,https://2gis.com/firm/70000001103263847,branch
Adalibs,магазин компьютерной техники,Компьютеры,"проспект Абылай хана, 3",14 бутик; 2 этаж,050050,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00; Сб: 11:00-18:00; Вс: 11:00-18:00,+05:00,4.7,21,87002450232,,,,,,,,,https://instagram.com/adalibs_laptops,,,,https://wa.me/77002450232,,,,,,,,43.272874,76.938395,https://2gis.com/firm/70000001069113713,branch
Aggregator,​сервисный центр,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК; Охранные системы; Кондиционеры; Ремонт телефонов; Монтаж климатических систем; Системное администрирование; Ремонт цифровой техники; Монтаж охранно-пожарных систем; Монтаж компьютерных сетей; Заправка картриджей; Расходные материалы для оргтехники; Ремонт оргтехники; Разработка и продвижение сайтов; Дизайн рекламы; Обслуживание климатического оборудования для помещений,"проспект Жибек Жолы, 106",3 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,5.0,1,87757671215,,,,,,,,,,,,,https://wa.me/77757671215,,,,,,,,43.261698,76.941516,https://2gis.com/firm/70000001116564825,branch
Aggregator,​сервисный центр,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК; Охранные системы; Ремонт телефонов; Системное администрирование; Ремонт цифровой техники; Монтаж охранно-пожарных систем; Монтаж компьютерных сетей; Заправка картриджей; Расходные материалы для оргтехники; Ремонт оргтехники; Разработка и продвижение сайтов; Дизайн рекламы; Разработка мобильных приложений,"улица Розыбакиева, 68",14 офис; 1 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,5.0,4,87757671215,,,,,,,,,,,,,https://wa.me/77757671215,,,,,,,,43.247795,76.889187,https://2gis.com/firm/70000001114708336,branch
Aggregator,​сервисный центр,Компьютеры; Ремонт компьютеров; Разработка и продвижение сайтов; Сборка и апгрейд ПК; Оргтехника; Бухгалтерские программы; Программное обеспечение; Автоматизация бизнес-процессов; Мобильные телефоны; Ремонт телефонов; Системное администрирование; Ремонт цифровой техники; Монтаж охранно-пожарных систем; Монтаж компьютерных сетей; Монтаж телефонных сетей; Сетевое оборудование; Заправка картриджей; Расходные материалы для оргтехники; Ремонт оргтехники,"улица Шолохова, 29",,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,5.0,9,87757671215,,,,,,,,,,,,,https://wa.me/77757671215,,,,,,,,43.336572,76.945968,https://2gis.com/firm/70000001114139086,branch
Aggregator,​сервисный центр,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК; Охранные системы; Ремонт телефонов; Системное администрирование; Ремонт цифровой техники; Монтаж охранно-пожарных систем; Монтаж компьютерных сетей; Заправка картриджей; Расходные материалы для оргтехники; Разработка и продвижение сайтов; Разработка мобильных приложений; Ремонт оргтехники; Дизайн рекламы,"улица Розыбакиева, 156 блок 5",1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,5.0,4,87757671215,,,,,,,,,,,,,https://wa.me/77757671215,,,,,,,,43.234242,76.891124,https://2gis.com/firm/70000001112461106,branch
Aggregator,​сервисный центр,Компьютеры; Ремонт компьютеров; Разработка и продвижение сайтов; Сборка и апгрейд ПК; Оргтехника; Бухгалтерские программы; Программное обеспечение; Охранные системы; Противопожарное оборудование; Автоматизация бизнес-процессов; Мобильные телефоны; Ремонт телефонов; Системное администрирование; Ремонт цифровой техники; Монтаж охранно-пожарных систем; Монтаж компьютерных сетей; Сетевое оборудование; Заправка картриджей; Расходные материалы для оргтехники; Ремонт оргтехники,"улица Жарокова, 137 блок В3",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,5.0,13,87757671215,,,,,,,,,,,,,https://wa.me/77757671215,,,,,,,,43.236981,76.898856,https://2gis.com/firm/70000001111840700,branch
