Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
A Realty Group,агентство недвижимости,Агентства недвижимости; Помощь в оформлении ипотеки,"улица Байтерекова, 51",1 этаж,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,135,87079861972,87472713220,,,,,,https://instagram.com/arealty_group,,https://wa.me/77472713220,https://wa.me/77079861972,,,,,,43.260889,76.821188,https://2gis.com/firm/70000001047580488,branch
Alash Apartments,агентство недвижимости,Агентства недвижимости,"улица Розыбакиева, 289/2",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,5.0,50,87055146533,,,,,,,,,https://wa.me/77055146533,,,,,,,43.195622,76.893636,https://2gis.com/firm/70000001087566993,branch
Alatau,агентство недвижимости,Агентства недвижимости,"проспект Абая, 76",12 офис; 1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-16:00; Вс: 10:00-16:00,+05:00,5.0,14,87017201133,,,,,,,https://instagram.com/alatau_almaty_,https://facebook.com/alatau.an.almaty,https://wa.me/77000901307,https://wa.me/77017201133,,,,,,43.239185,76.903524,https://2gis.com/firm/70000001043847806,branch
ALLIANCE,агентство недвижимости,Агентства недвижимости,"улица Тимирязева, 42 к3",2 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-16:00,+05:00,4.9,57,87077090956,87473414378,,upgrade.est@gmail.com,,,,https://instagram.com/alliance__almaty,,,,,,,,,43.2257,76.909738,https://2gis.com/firm/70000001090626783,branch
Almaty Elite Realty,агентство недвижимости,Агентства недвижимости,"улица Гоголя, 39",220 офис; 2 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.0,8,87029444125,87023877888,,,,,,,,https://wa.me/77029444125,https://wa.me/77023877888,,,,,,43.260999,76.956548,https://2gis.com/firm/70000001028345119,branch
Almaty Estate Group,компания,Агентства недвижимости; Оформление недвижимости,"улица Навои, 208/8",1 этаж,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+05:00,5.0,54,87757171681,87755248117,,,,,,https://instagram.com/diana_sheralievna,,https://wa.me/77757171681,https://wa.me/77755248117,,,,,https://youtube.com/@almaty__estate__group/featured,43.20465,76.887416,https://2gis.com/firm/70000001027857575,branch
Arnayi Group,агентство недвижимости,Агентства недвижимости,"улица Бауыржана Момышулы, 7/7",,040900,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-17:00,+05:00,4.8,45,87477979040,87477370882,,,,,,https://instagram.com/arnayi_group,,https://wa.me/77477979040,,,,,,,43.215535,76.617454,https://2gis.com/firm/70000001044240121,branch
Atlant group,агентство,Агентства недвижимости; Оформление недвижимости,"улица Казыбек би, 22",223 офис; 2 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.8,24,87773992155,,,,,,,https://instagram.com/atlant_group_1,,https://wa.me/77785851966,https://wa.me/77773992155,,,,,,43.256855,76.956846,https://2gis.com/firm/70000001057212957,branch
Atlas,агентство недвижимости,Агентства недвижимости,"микрорайон Сайран, 14",302 кабинет; 3 этаж,050062,Сайран м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:30-18:00; Вт: 09:30-18:00; Ср: 09:30-18:00; Чт: 09:30-18:00; Пт: 09:30-18:00,+05:00,5.0,6,87788276183,,,,,,,https://instagram.com/atlas_agensy,,https://wa.me/77471047013,https://wa.me/77788276183,,,,,,43.23557,76.863647,https://2gis.com/firm/70000001111048698,branch
Atlas Real Estate,агентство недвижимости,Агентства недвижимости,"улица Толе би, 73а",109 кабинет; 1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.8,17,87081939667,87777325874,,,,,,https://instagram.com/dr_real_estate__,,https://wa.me/77081939667,https://wa.me/77777325874,,,,,,43.254469,76.934482,https://2gis.com/firm/70000001055068604,branch
